create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,616,47cb4032-43b6-42a3-b9c1-074d35f3182e.binning_data.json,322936,6000,,2,2018-04-16 05:00:01.466,com.sec.android.app.shealth,2018-04-16 05:00:01.466,,1.9444444,461.51,22.589996,614,vUHbrX3Rww,com.sec.android.app.shealth,0,47cb4032-43b6-42a3-b9c1-074d35f3182e.achievement.json,47cb4032-43b6-42a3-b9c1-074d35f3182e,1523750400000,
,10289,58aebffc-e57f-4383-bc69-dc462bf7ee20.binning_data.json,5193894,6000,,72,2018-04-17 03:27:33.375,com.sec.android.app.shealth,2018-04-16 10:13:38.460,58aebffc-e57f-4383-bc69-dc462bf7ee20.source_info.json,1.5336294,7965.51,361.72998,10217,VfS0qUERdZ,com.sec.android.app.shealth,0,58aebffc-e57f-4383-bc69-dc462bf7ee20.achievement.json,58aebffc-e57f-4383-bc69-dc462bf7ee20,1523836800000,
,10289,8701eb61-8dc2-4ac5-ad0a-cbc9b7667a27.binning_data.json,5193786,6000,,72,2018-04-17 05:00:02.690,com.sec.android.app.shealth,2018-04-17 05:00:02.690,,5.6111107,7965.51,361.72998,10217,vUHbrX3Rww,com.sec.android.app.shealth,0,8701eb61-8dc2-4ac5-ad0a-cbc9b7667a27.achievement.json,8701eb61-8dc2-4ac5-ad0a-cbc9b7667a27,1523836800000,
,4145,5131fac7-01c7-4af0-8983-c3c5591621cf.binning_data.json,2138101,6000,,58,2018-04-18 04:34:59.098,com.sec.android.app.shealth,2018-04-17 10:15:02.531,5131fac7-01c7-4af0-8983-c3c5591621cf.source_info.json,1.5000927,3207.35,150.45999,4087,VfS0qUERdZ,com.sec.android.app.shealth,0,5131fac7-01c7-4af0-8983-c3c5591621cf.achievement.json,5131fac7-01c7-4af0-8983-c3c5591621cf,1523923200000,
,4145,bdfa08f2-d07e-4dd8-83a7-abd59c9a928f.binning_data.json,2138052,6000,,58,2018-04-18 05:00:08.605,com.sec.android.app.shealth,2018-04-18 05:00:08.605,,6.944443,3207.35,150.45999,4087,vUHbrX3Rww,com.sec.android.app.shealth,1609,bdfa08f2-d07e-4dd8-83a7-abd59c9a928f.achievement.json,bdfa08f2-d07e-4dd8-83a7-abd59c9a928f,1523923200000,
,3695,c4e4c228-8145-4bc8-8f80-f1d8e81772a6.binning_data.json,1856227,6000,,73,2018-04-20 05:00:03.534,com.sec.android.app.shealth,2018-04-18 10:23:00.373,c4e4c228-8145-4bc8-8f80-f1d8e81772a6.source_info.json,1.5185262,2818.73,134.29999,3622,VfS0qUERdZ,com.sec.android.app.shealth,0,c4e4c228-8145-4bc8-8f80-f1d8e81772a6.achievement.json,c4e4c228-8145-4bc8-8f80-f1d8e81772a6,1524009600000,
,3695,1001a840-63d1-4201-a262-5940919ba0ef.binning_data.json,1856185,6000,,73,2018-04-20 05:00:02.013,com.sec.android.app.shealth,2018-04-19 05:00:02.247,,2.3611112,2818.73,134.29999,3622,vUHbrX3Rww,com.sec.android.app.shealth,0,1001a840-63d1-4201-a262-5940919ba0ef.achievement.json,1001a840-63d1-4201-a262-5940919ba0ef,1524009600000,
,7464,64703367-cd26-4de0-8a0a-c55236c99af8.binning_data.json,3909575,6000,,21,2018-04-20 03:45:04.613,com.sec.android.app.shealth,2018-04-19 10:16:11.856,64703367-cd26-4de0-8a0a-c55236c99af8.source_info.json,1.4680749,5739.55,263.76,7443,VfS0qUERdZ,com.sec.android.app.shealth,0,64703367-cd26-4de0-8a0a-c55236c99af8.achievement.json,64703367-cd26-4de0-8a0a-c55236c99af8,1524096000000,
,7464,c763ef19-01fb-4476-bc3e-b012a2d51919.binning_data.json,3909487,6000,,21,2018-04-20 05:00:02.519,com.sec.android.app.shealth,2018-04-20 05:00:02.519,,3.4166667,5739.55,263.76,7443,vUHbrX3Rww,com.sec.android.app.shealth,0,c763ef19-01fb-4476-bc3e-b012a2d51919.achievement.json,c763ef19-01fb-4476-bc3e-b012a2d51919,1524096000000,
,8160,7f90301c-48e1-42a9-baed-ab8960479880.binning_data.json,4145182,6000,,74,2018-04-20 22:15:00.227,com.sec.android.app.shealth,2018-04-20 10:27:17.120,7f90301c-48e1-42a9-baed-ab8960479880.source_info.json,1.5098372,6258.55,289.54,8086,VfS0qUERdZ,com.sec.android.app.shealth,0,7f90301c-48e1-42a9-baed-ab8960479880.achievement.json,7f90301c-48e1-42a9-baed-ab8960479880,1524182400000,
,8160,4ee534c8-abf9-40a8-a655-87a925415cf7.binning_data.json,4145105,6000,,74,2018-04-21 05:00:03.095,com.sec.android.app.shealth,2018-04-21 05:00:03.095,,2.7222223,6258.55,289.54,8086,vUHbrX3Rww,com.sec.android.app.shealth,0,4ee534c8-abf9-40a8-a655-87a925415cf7.achievement.json,4ee534c8-abf9-40a8-a655-87a925415cf7,1524182400000,
,14989,cf70af8a-356a-43b0-810a-cd3100ac28de.binning_data.json,5509655,6000,,13441,2018-04-22 01:55:00.361,com.sec.android.app.shealth,2018-04-21 05:45:14.164,cf70af8a-356a-43b0-810a-cd3100ac28de.source_info.json,2.9390438,16193.12,1131.61,1548,VfS0qUERdZ,com.sec.android.app.shealth,0,cf70af8a-356a-43b0-810a-cd3100ac28de.achievement.json,cf70af8a-356a-43b0-810a-cd3100ac28de,1524268800000,
